wykryte;nienaprawialne;niewykryte;bledy
6075;546;27;6102
6187;557;22;6209
6190;596;24;6214
6271;623;13;6284
6079;562;18;6097
6119;555;16;6135
6039;598;24;6063
6151;604;17;6168
6165;564;17;6182
6088;593;32;6120
6152;525;12;6164
6127;558;22;6149
6146;575;13;6159
5969;554;29;5998
6126;558;23;6149
6225;602;22;6247
6124;558;18;6142
6194;576;25;6219
6152;588;15;6167
6259;592;15;6274
6203;583;14;6217
6122;579;19;6141
6204;584;19;6223
6117;591;20;6137
6194;570;15;6209
6196;644;18;6214
6191;573;17;6208
6078;523;16;6094
6173;579;17;6190
6204;613;20;6224
6031;563;14;6045
6210;619;22;6232
6214;573;24;6238
6217;531;12;6229
6023;539;18;6041
6351;585;20;6371
6157;559;15;6172
6113;567;24;6137
6232;589;19;6251
5991;577;17;6008
6066;599;21;6087
6276;583;15;6291
6103;547;22;6125
6141;567;17;6158
6115;570;13;6128
6134;600;18;6152
6090;535;16;6106
6028;567;17;6045
6126;569;13;6139
6111;545;8;6119
6144;594;21;6165
6131;597;16;6147
6131;584;15;6146
6162;591;29;6191
6248;536;14;6262
6185;570;17;6202
6141;570;28;6169
6016;519;16;6032
6044;570;25;6069
6115;598;17;6132
5887;536;14;5901
6252;524;10;6262
6150;568;15;6165
6153;559;24;6177
6191;550;17;6208
6106;585;19;6125
6183;602;20;6203
6267;555;18;6285
6158;536;19;6177
6020;555;18;6038
6081;543;21;6102
6100;577;16;6116
6311;602;14;6325
5999;568;14;6013
6158;588;21;6179
6167;568;15;6182
6088;602;13;6101
6297;611;15;6312
6235;525;18;6253
6147;534;22;6169
6260;563;24;6284
6243;572;14;6257
6149;547;18;6167
6238;594;15;6253
6119;567;20;6139
6201;602;16;6217
6133;594;14;6147
6059;554;26;6085
6208;551;11;6219
6164;569;20;6184
6132;562;16;6148
6206;599;18;6224
6075;602;17;6092
6139;560;11;6150
6152;595;25;6177
6088;565;18;6106
6127;560;12;6139
6150;584;20;6170
6124;535;21;6145
6177;561;15;6192
6104;521;26;6130
6150;546;17;6167
6202;596;19;6221
6101;590;10;6111
6175;579;15;6190
6139;576;18;6157
6142;541;14;6156
6169;583;22;6191
6222;554;19;6241
6148;527;19;6167
6119;559;14;6133
6074;560;16;6090
6144;613;21;6165
6041;573;20;6061
6110;528;16;6126
6232;590;21;6253
6085;588;25;6110
6083;532;25;6108
6095;560;14;6109
6157;600;21;6178
6235;563;18;6253
6089;563;17;6106
6061;583;14;6075
6174;604;15;6189
6098;564;13;6111
6326;610;23;6349
6116;570;22;6138
6215;594;17;6232
6171;559;14;6185
6098;538;24;6122
6215;533;16;6231
6244;585;18;6262
6108;552;14;6122
6065;586;25;6090
6284;617;21;6305
6220;614;17;6237
6064;552;19;6083
6008;578;17;6025
6103;613;8;6111
6129;579;12;6141
6191;578;18;6209
6211;569;16;6227
6153;542;15;6168
6121;553;23;6144
6152;566;17;6169
6269;584;17;6286
6214;581;19;6233
6113;552;25;6138
6213;556;18;6231
6046;569;17;6063
6161;581;25;6186
6113;580;19;6132
6212;584;12;6224
6127;525;9;6136
6098;607;29;6127
6202;583;14;6216
6109;538;20;6129
6124;549;11;6135
6055;600;18;6073
6233;580;22;6255
6118;561;13;6131
6143;612;21;6164
6039;544;21;6060
6068;568;17;6085
6019;566;17;6036
6100;537;12;6112
6147;594;20;6167
6051;551;24;6075
6126;541;22;6148
6137;533;19;6156
6212;524;17;6229
6081;567;15;6096
