;wykryte;nienaprawialne;niewykryte;bledy
849;6122;579;19;6141
850;6204;584;19;6223
851;6117;591;20;6137
852;6194;570;15;6209
853;6196;644;18;6214
854;6191;573;17;6208
855;6078;523;16;6094
856;6173;579;17;6190
857;6204;613;20;6224
858;6031;563;14;6045
859;6210;619;22;6232
860;6214;573;24;6238
861;6217;531;12;6229
862;6023;539;18;6041
863;6351;585;20;6371
864;6157;559;15;6172
865;6113;567;24;6137
866;6232;589;19;6251
867;5991;577;17;6008
868;6066;599;21;6087
869;6276;583;15;6291
870;6103;547;22;6125
871;6141;567;17;6158
872;6115;570;13;6128
873;6134;600;18;6152
874;6090;535;16;6106
875;6028;567;17;6045
876;6126;569;13;6139
877;6111;545;8;6119
878;6144;594;21;6165
879;6131;597;16;6147
880;6131;584;15;6146
881;6162;591;29;6191
882;6248;536;14;6262
883;6185;570;17;6202
884;6141;570;28;6169
885;6016;519;16;6032
886;6044;570;25;6069
887;6115;598;17;6132
888;5887;536;14;5901
889;6252;524;10;6262
890;6150;568;15;6165
891;6153;559;24;6177
892;6191;550;17;6208
893;6106;585;19;6125
894;6183;602;20;6203
895;6267;555;18;6285
896;6158;536;19;6177
897;6020;555;18;6038
898;6081;543;21;6102
899;6100;577;16;6116
900;6311;602;14;6325
901;5999;568;14;6013
902;6158;588;21;6179
903;6167;568;15;6182
904;6088;602;13;6101
905;6297;611;15;6312
906;6235;525;18;6253
907;6147;534;22;6169
908;6260;563;24;6284
909;6243;572;14;6257
910;6149;547;18;6167
911;6238;594;15;6253
912;6119;567;20;6139
913;6201;602;16;6217
914;6133;594;14;6147
915;6059;554;26;6085
916;6208;551;11;6219
917;6164;569;20;6184
918;6132;562;16;6148
919;6206;599;18;6224
920;6075;602;17;6092
921;6139;560;11;6150
922;6152;595;25;6177
923;6088;565;18;6106
924;6127;560;12;6139
925;6150;584;20;6170
926;6124;535;21;6145
927;6177;561;15;6192
928;6104;521;26;6130
929;6150;546;17;6167
930;6202;596;19;6221
931;6101;590;10;6111
932;6175;579;15;6190
933;6139;576;18;6157
934;6142;541;14;6156
935;6169;583;22;6191
936;6222;554;19;6241
937;6148;527;19;6167
938;6119;559;14;6133
939;6074;560;16;6090
940;6144;613;21;6165
941;6041;573;20;6061
942;6110;528;16;6126
943;6232;590;21;6253
944;6085;588;25;6110
945;6083;532;25;6108
946;6095;560;14;6109
947;6157;600;21;6178
948;6235;563;18;6253
949;6089;563;17;6106
950;6061;583;14;6075
